Dog_ID,Breed,Dog_Age,Behavior,Size,Health_Condition,Housing_Type,Lifestyle,Family_Composition,Pet_Experience,Match_Category
1071,Aspin,8 years,Independent,Small,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1072,Aspin,8 years,Calm,Small,Chronic Illness,Condo,Active,No Kids,No,Good Match ✅
1073,Aspin,2 years,Calm,Medium,Healthy,Condo,Sedentary,With Kids,Yes,Good Match ✅
1074,Aspin,8 years,Energetic,Large,Chronic Illness,House,Active,With Kids,No,Good Match ✅
1075,Aspin,2 years,Energetic,Large,Special Needs,Condo,Active,With Kids,No,Good Match ✅
1076,Aspin,3 years,Energetic,Medium,Healthy,Apartment,Active,With Kids,Yes,Good Match ✅
1077,Aspin,3 years,Independent,Small,Special Needs,Apartment,Active,With Kids,Yes,Good Match ✅
1078,Aspin,2 years,Independent,Small,Chronic Illness,Apartment,Active,With Kids,Yes,Good Match ✅
1079,Aspin,7 years,Aggressive,Medium,Healthy,House,Sedentary,No Kids,No,Good Match ✅
1080,Aspin,7 years,Aggressive,Small,Chronic Illness,Apartment,Sedentary,No Kids,No,Bad Match ❌
1081,Aspin,2 years,Energetic,Small,Healthy,House,Sedentary,No Kids,No,Bad Match ❌
1082,Aspin,2 years,Energetic,Medium,Chronic Illness,Apartment,Active,With Kids,Yes,Bad Match ❌
1083,Aspin,7 years,Calm,Large,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1084,Aspin,5 years,Independent,Medium,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1085,Aspin,8 years,Independent,Medium,Chronic Illness,Apartment,Active,No Kids,Yes,Good Match ✅
1086,Aspin,3 years,Energetic,Small,Healthy,Apartment,Active,No Kids,Yes,Good Match ✅
1087,Aspin,3 years,Calm,Small,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1088,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1089,Aspin,8 years,Energetic,Small,Healthy,Apartment,Active,With Kids,No,Bad Match ❌
1090,Aspin,7 years,Aggressive,Small,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1091,Aspin,7 years,Calm,Small,Special Needs,Condo,Active,No Kids,No,Good Match ✅
1092,Aspin,1.5 years,Calm,Small,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1093,Aspin,5 years,Aggressive,Small,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1094,Aspin,7 years,Calm,Small,Chronic Illness,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1095,Aspin,1.5 years,Energetic,Medium,Healthy,House,Sedentary,With Kids,Yes,Good Match ✅
1096,Aspin,3 years,Aggressive,Medium,Special Needs,Condo,Sedentary,No Kids,No,Bad Match ❌
1097,Aspin,3 years,Independent,Medium,Special Needs,Condo,Sedentary,No Kids,No,Bad Match ❌
1098,Aspin,2 years,Aggressive,Medium,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1099,Aspin,8 years,Independent,Large,Healthy,Condo,Active,No Kids,No,Bad Match ❌
1100,Aspin,3 years,Aggressive,Large,Special Needs,Condo,Sedentary,No Kids,No,Bad Match ❌
1101,Aspin,5 years,Calm,Large,Special Needs,Condo,Sedentary,With Kids,No,Good Match ✅
1102,Aspin,3 years,Aggressive,Large,Special Needs,House,Active,With Kids,No,Bad Match ❌
1103,Aspin,3 years,Calm,Medium,Special Needs,Condo,Active,With Kids,No,Good Match ✅
1104,Aspin,8 years,Aggressive,Small,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1105,Aspin,2 years,Independent,Small,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1106,Aspin,5 years,Calm,Small,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1107,Aspin,1.5 years,Aggressive,Large,Healthy,House,Sedentary,With Kids,Yes,Bad Match ❌
1108,Aspin,1.5 years,Energetic,Large,Special Needs,Apartment,Sedentary,With Kids,No,Bad Match ❌
1109,Aspin,3 years,Aggressive,Large,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1110,Aspin,2 years,Independent,Medium,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1111,Aspin,5 years,Calm,Medium,Chronic Illness,Condo,Active,With Kids,Yes,Good Match ✅
1112,Aspin,5 years,Aggressive,Small,Special Needs,Apartment,Active,With Kids,Yes,Good Match ✅
1113,Aspin,1.5 years,Calm,Medium,Special Needs,House,Active,No Kids,No,Bad Match ❌
1114,Aspin,3 years,Energetic,Small,Chronic Illness,House,Sedentary,No Kids,Yes,Bad Match ❌
1115,Aspin,7 years,Energetic,Small,Healthy,Condo,Sedentary,No Kids,No,Bad Match ❌
1116,Aspin,5 years,Aggressive,Small,Special Needs,Apartment,Active,With Kids,No,Bad Match ❌
1117,Aspin,7 years,Independent,Large,Healthy,Condo,Active,With Kids,No,Bad Match ❌
1118,Aspin,8 years,Calm,Small,Chronic Illness,Condo,Sedentary,No Kids,Yes,Good Match ✅
1119,Aspin,2 years,Energetic,Large,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1120,Aspin,7 years,Energetic,Medium,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1121,Aspin,2 years,Energetic,Medium,Special Needs,Apartment,Active,With Kids,No,Good Match ✅
1122,Aspin,5 years,Independent,Medium,Healthy,House,Active,With Kids,No,Good Match ✅
1123,Aspin,7 years,Calm,Medium,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1124,Aspin,1.5 years,Independent,Large,Healthy,Apartment,Active,With Kids,No,Bad Match ❌
1125,Aspin,2 years,Calm,Medium,Chronic Illness,Condo,Active,No Kids,Yes,Good Match ✅
1126,Aspin,3 years,Aggressive,Medium,Special Needs,House,Sedentary,No Kids,Yes,Good Match ✅
1127,Aspin,2 years,Calm,Large,Healthy,Condo,Sedentary,With Kids,Yes,Good Match ✅
1128,Aspin,1.5 years,Energetic,Large,Chronic Illness,House,Sedentary,With Kids,No,Good Match ✅
1129,Aspin,2 years,Calm,Large,Healthy,House,Active,No Kids,No,Good Match ✅
1130,Aspin,5 years,Energetic,Medium,Chronic Illness,House,Sedentary,With Kids,No,Good Match ✅
1131,Aspin,1.5 years,Energetic,Large,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1132,Aspin,5 years,Aggressive,Small,Healthy,House,Active,No Kids,Yes,Good Match ✅
1133,Aspin,2 years,Independent,Large,Chronic Illness,Apartment,Active,With Kids,Yes,Bad Match ❌
1134,Aspin,1.5 years,Independent,Small,Healthy,Condo,Active,With Kids,No,Good Match ✅
1135,Aspin,5 years,Energetic,Large,Healthy,House,Sedentary,No Kids,No,Bad Match ❌
1136,Aspin,7 years,Calm,Small,Special Needs,Apartment,Active,With Kids,No,Bad Match ❌
1137,Aspin,2 years,Energetic,Large,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1138,Aspin,3 years,Independent,Large,Special Needs,Apartment,Sedentary,With Kids,No,Good Match ✅
1139,Aspin,2 years,Calm,Small,Healthy,Apartment,Active,No Kids,No,Bad Match ❌
1140,Aspin,8 years,Independent,Medium,Healthy,Condo,Sedentary,No Kids,No,Good Match ✅
1141,Aspin,8 years,Energetic,Small,Chronic Illness,Apartment,Active,No Kids,No,Bad Match ❌
1142,Aspin,1.5 years,Energetic,Small,Special Needs,Apartment,Active,No Kids,Yes,Bad Match ❌
1143,Aspin,1.5 years,Energetic,Small,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1144,Aspin,8 years,Calm,Large,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1145,Aspin,2 years,Calm,Large,Healthy,House,Sedentary,No Kids,No,Good Match ✅
1146,Aspin,2 years,Independent,Large,Chronic Illness,House,Sedentary,With Kids,Yes,Good Match ✅
1147,Aspin,1.5 years,Aggressive,Large,Chronic Illness,House,Sedentary,With Kids,Yes,Good Match ✅
1148,Aspin,2 years,Aggressive,Large,Chronic Illness,House,Active,No Kids,Yes,Bad Match ❌
1149,Aspin,2 years,Aggressive,Small,Chronic Illness,House,Active,With Kids,No,Bad Match ❌
1150,Aspin,2 years,Independent,Small,Chronic Illness,Condo,Sedentary,With Kids,No,Good Match ✅
1151,Aspin,2 years,Aggressive,Small,Healthy,House,Active,With Kids,No,Good Match ✅
1152,Aspin,1.5 years,Independent,Large,Special Needs,Condo,Active,With Kids,Yes,Good Match ✅
1153,Aspin,1.5 years,Energetic,Large,Special Needs,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1154,Aspin,3 years,Independent,Small,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1155,Aspin,7 years,Calm,Large,Healthy,Condo,Sedentary,With Kids,Yes,Good Match ✅
1156,Aspin,7 years,Aggressive,Medium,Special Needs,Apartment,Active,No Kids,No,Good Match ✅
1157,Aspin,8 years,Aggressive,Medium,Healthy,Condo,Sedentary,No Kids,No,Good Match ✅
1158,Aspin,3 years,Calm,Medium,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1159,Aspin,3 years,Independent,Large,Chronic Illness,House,Active,With Kids,Yes,Good Match ✅
1160,Aspin,5 years,Energetic,Small,Chronic Illness,Condo,Active,With Kids,No,Bad Match ❌
1161,Aspin,8 years,Independent,Large,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1162,Aspin,1.5 years,Aggressive,Small,Healthy,Apartment,Sedentary,With Kids,No,Bad Match ❌
1163,Aspin,5 years,Energetic,Medium,Special Needs,Apartment,Active,No Kids,Yes,Bad Match ❌
1164,Aspin,8 years,Energetic,Small,Healthy,Condo,Sedentary,No Kids,No,Bad Match ❌
1165,Aspin,2 years,Aggressive,Large,Special Needs,Apartment,Sedentary,With Kids,No,Good Match ✅
1166,Aspin,5 years,Calm,Medium,Chronic Illness,Condo,Active,With Kids,Yes,Good Match ✅
1167,Aspin,5 years,Energetic,Medium,Healthy,Apartment,Sedentary,No Kids,Yes,Bad Match ❌
1168,Aspin,7 years,Calm,Medium,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1169,Aspin,3 years,Energetic,Medium,Healthy,House,Active,No Kids,No,Good Match ✅
1170,Aspin,3 years,Calm,Large,Special Needs,Apartment,Active,No Kids,Yes,Bad Match ❌
1171,Aspin,7 years,Independent,Medium,Healthy,Condo,Sedentary,No Kids,Yes,Bad Match ❌
1172,Aspin,3 years,Aggressive,Large,Healthy,House,Active,With Kids,No,Good Match ✅
1173,Aspin,5 years,Calm,Medium,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1174,Aspin,8 years,Aggressive,Large,Chronic Illness,House,Active,With Kids,Yes,Bad Match ❌
1175,Aspin,1.5 years,Independent,Large,Special Needs,House,Sedentary,With Kids,Yes,Good Match ✅
1176,Aspin,1.5 years,Independent,Medium,Special Needs,House,Active,With Kids,No,Good Match ✅
1177,Aspin,1.5 years,Energetic,Small,Special Needs,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1178,Aspin,2 years,Energetic,Small,Healthy,House,Active,No Kids,No,Bad Match ❌
1179,Aspin,3 years,Calm,Small,Special Needs,Condo,Active,With Kids,No,Bad Match ❌
1180,Aspin,1.5 years,Aggressive,Medium,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1181,Aspin,1.5 years,Aggressive,Small,Special Needs,Condo,Active,With Kids,No,Bad Match ❌
1182,Aspin,8 years,Independent,Large,Chronic Illness,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1183,Aspin,1.5 years,Independent,Medium,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1184,Aspin,5 years,Energetic,Large,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1185,Aspin,2 years,Energetic,Large,Healthy,Condo,Active,No Kids,Yes,Good Match ✅
1186,Aspin,2 years,Aggressive,Medium,Chronic Illness,House,Active,No Kids,Yes,Bad Match ❌
1187,Aspin,1.5 years,Energetic,Small,Special Needs,Apartment,Sedentary,No Kids,No,Good Match ✅
1188,Aspin,3 years,Energetic,Small,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1189,Aspin,3 years,Energetic,Small,Special Needs,House,Sedentary,With Kids,No,Good Match ✅
1190,Aspin,3 years,Energetic,Large,Healthy,Apartment,Active,With Kids,No,Bad Match ❌
1191,Aspin,2 years,Independent,Large,Chronic Illness,Condo,Active,With Kids,No,Good Match ✅
1192,Aspin,5 years,Aggressive,Medium,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1193,Aspin,2 years,Independent,Small,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1194,Aspin,1.5 years,Calm,Small,Chronic Illness,Condo,Sedentary,With Kids,No,Bad Match ❌
1195,Aspin,8 years,Independent,Small,Chronic Illness,House,Sedentary,With Kids,No,Bad Match ❌
1196,Aspin,7 years,Calm,Large,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1197,Aspin,7 years,Independent,Small,Chronic Illness,Apartment,Sedentary,No Kids,No,Bad Match ❌
1198,Aspin,1.5 years,Energetic,Medium,Chronic Illness,Condo,Sedentary,With Kids,Yes,Good Match ✅
1199,Aspin,5 years,Aggressive,Large,Special Needs,Condo,Active,No Kids,Yes,Good Match ✅
1200,Aspin,1.5 years,Calm,Large,Special Needs,House,Sedentary,With Kids,Yes,Bad Match ❌
1201,Aspin,8 years,Energetic,Medium,Special Needs,Apartment,Active,With Kids,Yes,Good Match ✅
1202,Aspin,3 years,Aggressive,Medium,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1203,Aspin,8 years,Calm,Small,Chronic Illness,Condo,Active,No Kids,Yes,Bad Match ❌
1204,Aspin,5 years,Independent,Large,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1205,Aspin,1.5 years,Calm,Small,Healthy,House,Sedentary,With Kids,No,Bad Match ❌
1206,Aspin,2 years,Independent,Large,Healthy,Condo,Active,With Kids,Yes,Good Match ✅
1207,Aspin,2 years,Independent,Medium,Special Needs,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1208,Aspin,8 years,Independent,Small,Healthy,Apartment,Active,With Kids,Yes,Bad Match ❌
1209,Aspin,8 years,Calm,Medium,Special Needs,Apartment,Active,With Kids,No,Bad Match ❌
1210,Aspin,7 years,Calm,Small,Chronic Illness,Apartment,Active,No Kids,No,Bad Match ❌
1211,Aspin,3 years,Independent,Small,Special Needs,Apartment,Active,No Kids,No,Bad Match ❌
1212,Aspin,2 years,Independent,Small,Healthy,Condo,Active,With Kids,No,Good Match ✅
1213,Aspin,3 years,Calm,Small,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1214,Aspin,7 years,Aggressive,Large,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1215,Aspin,3 years,Calm,Small,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1216,Aspin,5 years,Independent,Small,Special Needs,Condo,Sedentary,No Kids,No,Good Match ✅
1217,Aspin,3 years,Energetic,Medium,Special Needs,House,Active,With Kids,Yes,Good Match ✅
1218,Aspin,5 years,Energetic,Small,Healthy,Apartment,Sedentary,With Kids,Yes,Good Match ✅
1219,Aspin,3 years,Energetic,Large,Chronic Illness,Condo,Active,No Kids,Yes,Good Match ✅
1220,Aspin,7 years,Calm,Medium,Special Needs,House,Sedentary,With Kids,No,Bad Match ❌
1221,Aspin,3 years,Calm,Small,Special Needs,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1222,Aspin,7 years,Aggressive,Medium,Healthy,Condo,Active,With Kids,No,Good Match ✅
1223,Aspin,3 years,Independent,Medium,Healthy,Condo,Sedentary,With Kids,Yes,Bad Match ❌
1224,Aspin,3 years,Independent,Medium,Chronic Illness,Condo,Active,With Kids,Yes,Good Match ✅
1225,Aspin,5 years,Calm,Large,Chronic Illness,Apartment,Active,No Kids,No,Good Match ✅
1226,Aspin,7 years,Energetic,Large,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1227,Aspin,1.5 years,Independent,Large,Chronic Illness,Apartment,Sedentary,No Kids,No,Good Match ✅
1228,Aspin,8 years,Independent,Small,Chronic Illness,Condo,Sedentary,With Kids,Yes,Good Match ✅
1229,Aspin,5 years,Calm,Small,Special Needs,Condo,Sedentary,With Kids,Yes,Good Match ✅
1230,Aspin,7 years,Aggressive,Small,Special Needs,Condo,Active,With Kids,No,Good Match ✅
1231,Aspin,3 years,Aggressive,Large,Chronic Illness,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1232,Aspin,3 years,Aggressive,Large,Healthy,Apartment,Active,With Kids,Yes,Bad Match ❌
1233,Aspin,1.5 years,Calm,Small,Chronic Illness,House,Sedentary,No Kids,No,Bad Match ❌
1234,Aspin,3 years,Aggressive,Small,Healthy,Apartment,Active,With Kids,No,Good Match ✅
1235,Aspin,7 years,Calm,Medium,Special Needs,Condo,Active,With Kids,Yes,Bad Match ❌
1236,Aspin,2 years,Aggressive,Large,Special Needs,House,Active,With Kids,Yes,Bad Match ❌
1237,Aspin,3 years,Independent,Medium,Special Needs,Condo,Active,With Kids,No,Good Match ✅
1238,Aspin,5 years,Calm,Small,Chronic Illness,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1239,Aspin,3 years,Energetic,Small,Chronic Illness,Condo,Sedentary,With Kids,Yes,Good Match ✅
1240,Aspin,7 years,Calm,Medium,Healthy,House,Active,With Kids,No,Bad Match ❌
1241,Aspin,8 years,Independent,Medium,Chronic Illness,Condo,Active,No Kids,Yes,Good Match ✅
1242,Aspin,3 years,Calm,Small,Healthy,Apartment,Sedentary,With Kids,No,Good Match ✅
1243,Aspin,2 years,Energetic,Medium,Healthy,Condo,Sedentary,With Kids,Yes,Good Match ✅
1244,Aspin,8 years,Energetic,Medium,Healthy,House,Sedentary,With Kids,No,Good Match ✅
1245,Aspin,1.5 years,Aggressive,Large,Chronic Illness,Apartment,Active,With Kids,No,Bad Match ❌
1246,Aspin,5 years,Independent,Large,Chronic Illness,House,Sedentary,No Kids,Yes,Bad Match ❌
1247,Aspin,8 years,Aggressive,Medium,Special Needs,House,Sedentary,No Kids,Yes,Bad Match ❌
1248,Aspin,5 years,Energetic,Large,Healthy,Apartment,Sedentary,With Kids,Yes,Bad Match ❌
1249,Aspin,2 years,Aggressive,Small,Special Needs,Condo,Sedentary,No Kids,Yes,Good Match ✅
1250,Aspin,2 years,Aggressive,Small,Chronic Illness,Condo,Sedentary,With Kids,Yes,Good Match ✅
1251,Aspin,3 years,Calm,Small,Special Needs,Condo,Active,No Kids,No,Bad Match ❌
1252,Aspin,3 years,Aggressive,Medium,Healthy,Condo,Active,No Kids,Yes,Bad Match ❌
1253,Aspin,2 years,Aggressive,Large,Healthy,House,Active,With Kids,No,Good Match ✅
1254,Aspin,2 years,Independent,Small,Special Needs,Condo,Sedentary,No Kids,No,Bad Match ❌
1255,Aspin,8 years,Calm,Large,Special Needs,Apartment,Active,No Kids,Yes,Good Match ✅
1256,Aspin,3 years,Aggressive,Small,Chronic Illness,Apartment,Active,With Kids,Yes,Bad Match ❌
1257,Aspin,1.5 years,Calm,Medium,Healthy,Apartment,Sedentary,No Kids,Yes,Good Match ✅
1258,Aspin,5 years,Independent,Small,Special Needs,Apartment,Active,No Kids,Yes,Good Match ✅
1259,Aspin,5 years,Independent,Large,Chronic Illness,House,Active,No Kids,No,Bad Match ❌
1260,Aspin,5 years,Energetic,Small,Healthy,Apartment,Active,With Kids,Yes,Good Match ✅
1261,Aspin,1.5 years,Energetic,Small,Chronic Illness,Apartment,Sedentary,No Kids,No,Bad Match ❌
